,title,area,numberOfRooms,price,town,district
0,Büyükada Kesintisiz Deniz Manzaralı Sezonluk 3+1 Kiralık Daire,160,3+1,25.000,Büyükada,Maden Mh.
1,AYBARS'DAN BÜYÜKADA'DA NİZAM MAH. EŞYALI 1+1 KIRALIK DAİRE,50,1+1,7.000,Büyükada,Nizam Mh.
2,HEYBELİADA EŞYALI 3.5+1 DUBLEKS KİRALIK DAİRE,150,3.5+1,12.500,Heybeliada,
3,Planet'ten Düz Büyük Bahçeli Havuzlu Site İçinde Bahçe Kat daire,165,3+1,19.000,Büyükada,Nizam Mh.
4,KINALIADA'DA PANORAMİK DENİZ MANZARALI 'EŞYALI' 2+2 KİRALİK,130,2+2,15.000,Kınalıada,Kınalıada Mh.
5,"HEYBELİADA'DA ORMAN İÇİ, PLAJ ÖNÜ BAHÇE KATI AYLIK KİRALIK DAİRE",70,2+1,16.500,Heybeliada,
6,Murat'tan Bakımlı Sitede Deniz Doğa Havuz Manzaralı 4+1 yaz-kış,180,4+1,15.000,Büyükada,Nizam Mh.
7,DBA HEYBELİADA 1+1 70m2 EŞYALI KİRALIK BAHÇE KATI,70,1+1,7.000,Heybeliada,
8,MERKEZDE KİRALIK 3+2 DUBLEKS DAİRE,150,3+2,9.000,Büyükada,Nizam Mh.
9,İZAK HASON'DAN HEYBELİADA'DA DENİZ MANZARALI KİRALIK DAİRE,110,2+1,18.000,Heybeliada,
10,büyükada maden mah.sezonluk aile binası full eşyalı temiz 1+1,55,1+1,35.500,Büyükada,Maden Mh.
11,Büyükada Kumsalda Deniz Manzaralı Kullanılmamış Eşyalı Daire,100,3+1,15.000,Büyükada,Maden Mh.
12,Büyükada'da Sezonluk Geniş Çift Balkon Çarşıda İskeleye 200 m.,110,3+1,21.000,Büyükada,Maden Mh.
13,"Kınalıada, Narçiçeği Sokakta Deniz Manzaralı Kiralık 2+1 Daire",120,2+1,90.000,Kınalıada,Kınalıada Mh.
14,HEYBELİADA'DA EŞYALI SEZONLUK KİRALIK DAİRE,70,2+1,40.000,Heybeliada,
15,Planet'ten Deniz Manzaralı 3+1 İçi Yenilenmiş Ara Kat daire.,130,3+1,16.000,Büyükada,Maden Mh.
16,FULL EŞYALI SEZONLUK AYLIK VEYA YILLIK BAHÇELİ DENİZ MANZARALI,110,2+1,15.000,Büyükada,Maden Mh.
17,BÜYÜKADA ÇINAR CADESİNDE İSKELEYE YÜRÜME MESAFESİNDE KİRALIK,90,2+1,8.000,Büyükada,Maden Mh.
18,SAHİBİNDEN Deniz manzaralı sezonluk kiralık daire,80,2+1,15.000,Heybeliada,
19,"Sahibinden deniz manzaralı, havuzlu, bahçe kati,kombili Madende",90,2.5+1,10.000,Büyükada,Maden Mh.
20,BURGAZADA'DA DENİZE SIFIR SEZONLUK 2+1 EŞYALI KİRALIK DAİRE,60,1+1,45.000,Burgazada,Burgazada Mh.
21,DEMET DINO DAN YAZ KIS KIRALIK BURGAZADA +++aciklamayi okuyun+++,90,2+1,12.000,Burgazada,Burgazada Mh.
22,"BÜYÜKADA SAAT MEYDANI'NDA, MANZARALI, TERASLI 3+1 DUBLEKS",140,3+1,20.000,Büyükada,Nizam Mh.
23,Burgazada Kiralık Eşyalı Daire,100,2+1,39.000,Burgazada,Burgazada Mh.
24,Heybeliada Sezonluk Kiralık Daire,100,2+1,20.000,Heybeliada,
25,BÜYÜKADADA DENİZE SIFIR ÖZEL İSKELESİ OLAN FULL LÜX EŞYALI DAİRE,170,3+1,50.000,Büyükada,Maden Mh.
26,Planet'ten Deniz Manzaralı 3+1 Teras Katı İçi Yenilenmiş Daire,130,3+1,15.000,Büyükada,Maden Mh.
27,BÚYÜKADA 'DA SEZONLUK KİRALİK HARİKA KONUMLU BAHÇELİ DAİRE,90,2+1,20.000,Büyükada,Maden Mh.
